date,marketSlug,direction,boughtAt,soldAt,profit,profitPct
2026-02-05T13:26:14.183Z,btc-updown-15m-1770297300,DOWN,0.72,0.80,0.08,11.11
2026-02-05T13:26:29.498Z,btc-updown-15m-1770297300,DOWN,0.81,0.90,0.09,11.11
2026-02-05T13:41:39.188Z,btc-updown-15m-1770298200,UP,0.72,0.81,0.09,12.50
2026-02-05T13:41:53.945Z,btc-updown-15m-1770298200,UP,0.8,0.89,0.09,11.25
2026-02-05T13:43:52.445Z,btc-updown-15m-1770298200,UP,0.89,0.98,0.09,10.11
2026-02-05T13:44:50.177Z,btc-updown-15m-1770298200,UP,0.98,0.99,0.01,1.02
2026-02-05T13:44:52.601Z,btc-updown-15m-1770298200,UP,0.99,0.99,0.00,0.00
2026-02-05T13:44:55.027Z,btc-updown-15m-1770298200,UP,0.99,0.99,0.00,0.00
2026-02-05T13:44:57.484Z,btc-updown-15m-1770298200,UP,0.99,0.99,0.00,0.00
2026-02-05T13:44:59.945Z,btc-updown-15m-1770298200,UP,0.99,0.99,0.00,0.00
2026-02-05T13:59:50.651Z,btc-updown-15m-1770299100,UP,0.97,1.00,0.03,2.99
2026-02-05T14:11:23.256Z,btc-updown-15m-1770300000,UP,0.77,0.85,0.08,10.39
2026-02-05T14:12:07.458Z,btc-updown-15m-1770300000,UP,0.85,0.94,0.09,10.59
2026-02-05T14:14:51.016Z,btc-updown-15m-1770300000,UP,0.94,0.96,0.02,2.13
